key,en,fr,nl
ActionsGridFieldItemRequest.DONE,Action {action} was done on {name},Action {action} was done on {name},Action {action} was done on {name}
BaseFileUploadReceiver.ALLOWEXTENSION,Allowed extensions: {ext},Allowed extensions: {ext},Allowed extensions: {ext}
BaseFileUploadReceiver.MAXRESOLUTION,Max resolution: 2048x2048px,Résolution max.: 2048x2048px,Max resolutie: 2048x2048px
BaseFileUploadReceiver.MAXSIZE,Max file size: {size},Format max fichier: {size},Max documentgrootte: {size}
BaseForm.DOSUBMIT,Submit,Submit,Submit
BaseSecurityAdminExtension.LockedMembers,Locked Members,Locked Members,Locked Members
BaseSecurityAdminExtension.MembersOnlyGroups,"Only group members are shown. To add a user to a group, link it from an existing group.","Only group members are shown. To add a user to a group, link it from an existing group.","Only group members are shown. To add a user to a group, link it from an existing group."
BaseSecurityAdminExtension.RecentPasswordFailures,Recent Password Failures,Recent Password Failures,Recent Password Failures
BaseSecurityAdminExtension.SecurityAudit,Security Audit,Security Audit,Security Audit
BootstrapModal.Close,Close,Close,Close
ContactPageController.ERR_ENTER_EMAIL,Enter your e-mail,Entrez votre email,Vul uw e-mail in
ContactPageController.ERR_ENTER_MESSAGE,Enter your message,Entrez votre message,Schrijf uw bericht
ContactPageController.ERR_ENTER_NAME,Enter your name,Entrez votre nom,Vul uw naam in
ContactPageController.ERR_ENTER_VALIDEMAIL,Enter a valid e-mail,Entrez un email valide,Vul een geldig e-mailadres in
ContactPageController.MESSAGE_ERROR,Your message hasn't been sent.,Votre message n'a pas été envoyé.,Uw bericht werd niet verstuurd. 
ContactPageController.MESSAGE_SENT,Your message has been sent.,Votre message a bien été envoyé.,Uw bericht werd verstuurd.
CookieConsent.ALLOWCOOKIES,Allow cookies,Accepter cookies,Cookies accepteren
CookieConsent.DECLINE,Decline,Decline,Decline
CookieConsent.LINK,Learn more,Savoir plus,Meer weten
CookieConsent.MESSAGE,This website uses cookies to ensure you get the best experience on your website.,Ce site utilise des cookies afin de vous donner la meilleure expérience.,Deze website gebruikt cookies om uw surfervaring aangenamer te maken.
CountryDropdownField.TITLE,Country,Country,Country
FlatpickrField.SELECT_A_DATE,Select a date...,Sélectionnez une date...,Kies een datum...
NewsItem.READ_MORE,Read more,Savoir plus,Meer weten
NewsPage.NO_ARTICLES,No articles,Pas d'articles,Geen artikels
NewsSidebar.ARCHIVES,Archives,Archives,Archives
NewsSidebar.POPULAR_POSTS,Popular posts,Posts populaires,Populaire posts
NewsSidebar.SEARCH,Search,Search,Search
NewsSidebar.TAGS,Tags,Tags,Tags
PrivacyForm.IAGREE,I read and I agree with the,Je confirme avoir lu et accepté… ,Ik heb gelezen en goedgekeurd...
PrivacyForm.PLEASEREVIEW,Please review our privacy notice and terms and conditions to continue, Veuillez lire notre Privacy Notice et nos termes et conditions afin de continuer,Gelieve onze privacy notice en voorwaarden te accepteren alvorens verder te gaan
SocialExtension.DISCOVER,I discovered ,J'ai découvert ,Ik vond  
SocialExtension.SEE,You can see it here :,Un aperçu :,Je kan het hier zien :
